epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,47290.2,0.46941,0.62516,1.01461,0.99431,1,0.995,0.82054,0.71532,0.73728,1.02644,0.000746,0.000746,0.000746
97,47350.1,0.45515,0.61528,0.92287,0.99411,1,0.995,0.80567,0.72444,0.76668,1.04051,0.0007328,0.0007328,0.0007328
98,47410.9,0.4865,0.59619,0.9634,0.99686,1,0.995,0.81002,0.71212,0.76423,1.04971,0.0007196,0.0007196,0.0007196
99,47473,0.43846,0.53376,0.90696,1,0.99951,0.995,0.83464,0.69852,0.75856,1.04509,0.0007064,0.0007064,0.0007064
100,47532.4,0.48222,0.61928,0.9969,1,0.99959,0.995,0.84528,0.68167,0.73036,1.04847,0.0006932,0.0006932,0.0006932
101,47591.6,0.43607,0.53378,0.95628,1,0.99976,0.995,0.84809,0.66135,0.70456,1.03842,0.00068,0.00068,0.00068
102,47650.5,0.45636,0.55077,0.95858,0.93437,1,0.99147,0.83956,0.63303,0.71376,1.02689,0.0006668,0.0006668,0.0006668
103,47710.3,0.4316,0.54765,0.92868,0.93617,1,0.99147,0.82997,0.6266,0.73088,1.01471,0.0006536,0.0006536,0.0006536
104,47770.2,0.4841,0.60034,1.00059,0.93737,1,0.99147,0.82822,0.63147,0.73374,1.00508,0.0006404,0.0006404,0.0006404
105,47830,0.4583,0.54311,0.94494,0.93889,1,0.99147,0.82958,0.62371,0.72896,0.99399,0.0006272,0.0006272,0.0006272
106,47888.6,0.42394,0.50154,0.94626,0.99801,1,0.995,0.83567,0.60721,0.74266,0.97795,0.000614,0.000614,0.000614
107,47947.5,0.44027,0.56749,0.9757,0.99445,1,0.995,0.85402,0.59382,0.7467,0.96463,0.0006008,0.0006008,0.0006008
108,48006.8,0.43538,0.54799,0.95855,0.99221,1,0.995,0.86356,0.6085,0.7479,0.96238,0.0005876,0.0005876,0.0005876
109,48062,0.4382,0.5136,0.94874,0.99203,1,0.995,0.85718,0.62905,0.74943,0.96622,0.0005744,0.0005744,0.0005744
110,48096.6,0.45358,0.55366,0.96028,0.98823,1,0.995,0.85897,0.63944,0.74648,0.96809,0.0005612,0.0005612,0.0005612
111,48131.2,0.46178,0.57428,0.9909,0.9932,1,0.995,0.82412,0.62435,0.72496,0.96121,0.000548,0.000548,0.000548
112,48165.4,0.41084,0.51255,0.96145,0.98949,1,0.995,0.852,0.61596,0.71673,0.96131,0.0005348,0.0005348,0.0005348
113,48199.9,0.42575,0.51194,0.94848,0.98917,1,0.995,0.85917,0.60714,0.69741,0.96452,0.0005216,0.0005216,0.0005216
114,48234.6,0.47582,0.63507,1.01574,1,0.98649,0.995,0.86669,0.57646,0.70425,0.95709,0.0005084,0.0005084,0.0005084
115,48269.1,0.39695,0.47319,0.88967,0.93134,1,0.99147,0.89061,0.55214,0.74179,0.94829,0.0004952,0.0004952,0.0004952
116,48303.7,0.42847,0.52115,0.97123,0.94205,1,0.995,0.88975,0.55782,0.74952,0.94198,0.000482,0.000482,0.000482
117,48338.1,0.44267,0.51929,0.94729,0.92934,1,0.99147,0.87696,0.55967,0.75041,0.93374,0.0004688,0.0004688,0.0004688
118,48372.7,0.45606,0.55353,0.96295,1,0.99475,0.995,0.88593,0.56104,0.68422,0.93272,0.0004556,0.0004556,0.0004556
119,48407.1,0.40156,0.46521,0.93999,0.99104,1,0.995,0.89371,0.56543,0.66495,0.93482,0.0004424,0.0004424,0.0004424
120,48441.6,0.4364,0.50363,0.94629,0.98928,1,0.995,0.88999,0.57571,0.61763,0.94068,0.0004292,0.0004292,0.0004292
121,48476.1,0.45838,0.55438,1.00989,0.98179,1,0.995,0.88897,0.57603,0.58197,0.9395,0.000416,0.000416,0.000416
122,48510.4,0.37595,0.44181,0.90699,0.99406,1,0.995,0.88655,0.55445,0.60857,0.93341,0.0004028,0.0004028,0.0004028
123,124902,0.4134,0.55247,0.94857,1,0.99517,0.995,0.8772,0.53992,0.62733,0.93778,0.0003896,0.0003896,0.0003896
124,124940,0.47587,0.59102,0.98585,0.93808,1,0.99147,0.86605,0.54421,0.60482,0.94279,0.0003764,0.0003764,0.0003764
125,124976,0.41719,0.49445,0.95392,0.94092,0.99565,0.99147,0.83949,0.56706,0.62021,0.95494,0.0003632,0.0003632,0.0003632
126,125013,0.38897,0.47786,0.91488,0.94071,0.99209,0.98794,0.83793,0.603,0.68416,0.96522,0.00035,0.00035,0.00035
127,125049,0.38291,0.45055,0.90135,0.94058,0.98991,0.98794,0.81186,0.60225,0.69358,0.96546,0.0003368,0.0003368,0.0003368
128,125086,0.39493,0.47528,0.94299,0.88121,1,0.98458,0.81909,0.59791,0.71914,0.96745,0.0003236,0.0003236,0.0003236
129,125124,0.39497,0.48408,0.91941,0.88721,1,0.98167,0.80861,0.58997,0.73086,0.9672,0.0003104,0.0003104,0.0003104
130,125161,0.42081,0.51579,0.96768,0.88598,1,0.98458,0.83622,0.59296,0.69904,0.96119,0.0002972,0.0002972,0.0002972
131,125218,0.45651,0.51799,1.00841,1,0.93069,0.98833,0.8525,0.57508,0.67696,0.95296,0.000284,0.000284,0.000284
132,125268,0.40369,0.48482,0.94689,0.93914,1,0.99147,0.86377,0.56795,0.65836,0.94569,0.0002708,0.0002708,0.0002708
133,125310,0.39116,0.45568,0.91614,0.99198,0.9375,0.99147,0.86014,0.55922,0.67251,0.94187,0.0002576,0.0002576,0.0002576
134,125352,0.45624,0.54441,1.05931,0.98035,0.9375,0.98833,0.84232,0.54828,0.66389,0.94263,0.0002444,0.0002444,0.0002444
135,125394,0.42537,0.46306,0.97073,1,0.93447,0.98833,0.85294,0.55746,0.66736,0.95387,0.0002312,0.0002312,0.0002312
136,125436,0.36709,0.40505,0.91017,0.93931,1,0.98794,0.86364,0.5778,0.6944,0.962,0.000218,0.000218,0.000218
137,125478,0.4379,0.50153,0.94155,1,0.9266,0.98833,0.85969,0.57989,0.70257,0.96336,0.0002048,0.0002048,0.0002048
138,125518,0.38008,0.48504,0.89833,0.93385,0.9375,0.98083,0.86019,0.58033,0.71724,0.96385,0.0001916,0.0001916,0.0001916
139,125554,0.40067,0.50827,0.9621,1,0.93244,0.98833,0.85755,0.57548,0.61275,0.96333,0.0001784,0.0001784,0.0001784
140,125595,0.40033,0.4804,0.95101,0.9966,0.9375,0.98833,0.85236,0.57994,0.61809,0.96455,0.0001652,0.0001652,0.0001652
141,125640,0.43295,0.56159,0.9191,1,0.99714,0.995,0.87118,0.585,0.63818,0.97034,0.000152,0.000152,0.000152
142,125682,0.41176,0.51505,0.91423,1,0.99302,0.995,0.88049,0.57972,0.63123,0.98121,0.0001388,0.0001388,0.0001388
143,125717,0.40722,0.51735,0.89057,1,0.97864,0.995,0.88444,0.5741,0.62952,0.97681,0.0001256,0.0001256,0.0001256
144,125751,0.39734,0.50512,0.89924,0.99839,1,0.995,0.87419,0.56202,0.62918,0.97106,0.0001124,0.0001124,0.0001124
145,125788,0.41457,0.5094,0.90856,0.98197,1,0.995,0.8844,0.54816,0.58679,0.96992,9.92e-05,9.92e-05,9.92e-05
146,125823,0.36179,0.49395,0.86876,0.98315,1,0.995,0.8832,0.53886,0.57846,0.96587,8.6e-05,8.6e-05,8.6e-05
147,125861,0.40981,0.53639,0.89841,1,0.99838,0.995,0.8832,0.52668,0.59032,0.95857,7.28e-05,7.28e-05,7.28e-05
148,125916,0.41578,0.51602,0.86328,1,0.98799,0.995,0.8832,0.52136,0.59474,0.95359,5.96e-05,5.96e-05,5.96e-05
149,125957,0.41097,0.50604,0.88156,0.97409,1,0.995,0.88115,0.51517,0.57542,0.95758,4.64e-05,4.64e-05,4.64e-05
150,125994,0.40268,0.51973,0.92634,1,0.99629,0.995,0.8832,0.51822,0.58186,0.95434,3.32e-05,3.32e-05,3.32e-05
