epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1184.42,0.82142,4.03568,0.62039,0.68877,1.11849,0.941,0.99707,0.99147,0.78903,0.92948,0.9375,0.935,0.43159,0.75128,3.90591,0.4271,0.58909,1.13176,0.0013664,0.0013664,0.0013664
66,1202.45,0.73365,4.04505,0.6493,0.68127,1.06066,0.98234,1,0.995,0.82927,0.80737,0.8125,0.70633,0.28497,0.74401,3.9075,0.43889,0.59478,1.10949,0.0013565,0.0013565,0.0013565
67,1220.09,0.71931,3.996,0.63549,0.66769,1.06716,0.92772,1,0.98794,0.81144,0.86973,0.9375,0.86731,0.30573,0.70295,3.92571,0.43701,0.62719,1.07145,0.0013466,0.0013466,0.0013466
68,1238.19,0.70722,3.88655,0.65913,0.65871,1.03216,0.7982,0.98929,0.94444,0.73717,0.78791,0.9375,0.89644,0.25226,0.76158,3.96588,0.4346,0.6714,1.08104,0.0013367,0.0013367,0.0013367
69,1256.36,0.72247,3.63768,0.65067,0.67443,1.07373,0.94988,0.875,0.97925,0.75655,0.97404,0.875,0.875,0.27507,0.72292,4.49914,0.41989,0.62077,1.06651,0.0013268,0.0013268,0.0013268
70,1274.41,0.75611,3.81583,0.62503,0.68052,1.06751,0.99962,0.9375,0.97864,0.7416,0.82861,0.75,0.63857,0.16631,0.74181,4.31955,0.43441,0.70043,1.10305,0.0013169,0.0013169,0.0013169
71,1292.37,0.6955,3.77786,0.62744,0.63679,1.04175,1,0.91683,0.983,0.73774,0.59952,0.5625,0.38459,0.16912,0.81414,4.1782,0.4466,0.76782,1.16026,0.001307,0.001307,0.001307
72,1310.65,0.73668,3.67157,0.62348,0.65849,1.05471,0.95968,0.875,0.98178,0.77029,0.8484,0.75,0.74957,0.25198,0.7932,3.79353,0.46506,0.72429,1.12499,0.0012971,0.0012971,0.0012971
73,1328.77,0.72206,3.95115,0.63742,0.69858,1.08357,0.88801,1,0.98458,0.80869,0.83094,0.9375,0.92705,0.37179,0.67955,3.62747,0.47389,0.70002,1.0908,0.0012872,0.0012872,0.0012872
74,1346.72,0.76799,3.89557,0.66484,0.69,1.13668,0.93668,0.92522,0.97489,0.82047,0.81062,0.8031,0.8111,0.2125,0.64939,3.85546,0.48279,0.65757,1.0472,0.0012773,0.0012773,0.0012773
75,1364.91,0.62325,3.64077,0.58552,0.57353,0.9743,0.92752,0.9375,0.97321,0.82411,0.80368,0.8125,0.76958,0.19646,0.70137,3.85524,0.48595,0.63414,1.09043,0.0012674,0.0012674,0.0012674
